Country,Value
ABD,12394
Rusya,6148
almanya,1653
Fransa,2162
İngiltere,1214
Çin,1131
Sovyetler Birliği,
Hollanda,1167
İtalya,660
İsrail,1263
Ukrayna,240
İspanya,814
İsveç,83
İsviçre,186
Kanada,87
Güney Kore,587
Belarus,23
Norveç,134
Türkiye,244
Güney Afrika,74
Çek Cumhuriyeti,110
Polonya,3
Belçika,12
Avustralya,97
Brezilya,45
Çekoslavakya,
Kuzey Kore,
Finlandiya,58
Özbekistan,
Japonya,2
Slovakya,22
Danimarka,12
Bulgaristan,
Avusturya,22
Yugoslavya,
Ürdün,77
BAE,72
Singapur,
Moldova,
Endonezya,102
İran,10
Libya,
Romanya,
Portekiz,56
Hindistan,56
Kazakistan,
Sırbistan,2
İrlanda,
Macaristan,
